City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Ust-Barguzin,RU,53.45,108.9833,25.93,79,100,4.05,overcast clouds
112,Saint-Leu,RE,-21.15,55.2833,77.0,83,75,16.11,light rain
113,Bengkulu,ID,-3.8004,102.2655,73.36,89,92,3.51,overcast clouds
114,Tezu,IN,27.9167,96.1667,70.02,38,53,4.47,broken clouds
115,Cidreira,BR,-30.1811,-50.2056,70.57,78,2,17.76,clear sky
116,Tahe,CN,52.3333,124.7333,37.83,33,12,8.79,few clouds
117,Millinocket,US,45.6573,-68.7098,51.8,30,1,11.5,clear sky
118,Harper,LR,4.375,-7.7169,81.18,82,98,8.93,overcast clouds
119,Tocopilla,CL,-22.092,-70.1979,65.39,75,7,6.22,clear sky
120,Pontianak,ID,-0.0333,109.3333,75.2,94,40,3.38,scattered clouds
121,Dikson,RU,73.5069,80.5464,32.13,97,100,17.36,overcast clouds
122,Hasaki,JP,35.7333,140.8333,57.0,71,20,8.05,few clouds
123,Rio Gallegos,AR,-51.6226,-69.2181,51.8,66,75,4.61,broken clouds
124,Puerto Del Rosario,ES,28.5004,-13.8627,69.8,68,20,6.91,few clouds
125,Karasburg,NA,-28.0167,18.75,70.66,22,3,11.07,clear sky
126,Lorengau,PG,-2.0226,147.2712,81.63,77,94,3.69,overcast clouds
127,Kuytun,RU,54.3419,101.5036,31.89,63,100,8.81,overcast clouds
128,Bronnoysund,NO,65.4625,12.1997,32.0,93,40,12.66,light snow
129,Fortuna,US,40.5982,-124.1573,59.0,67,1,11.5,clear sky
130,Saskylakh,RU,71.9167,114.0833,33.69,97,100,20.11,light snow
131,Port Alfred,ZA,-33.5906,26.891,66.45,72,0,21.5,clear sky
132,Dhidhdhoo,MV,6.8833,73.1,83.05,75,7,6.55,clear sky
133,Sao Filipe,CV,14.8961,-24.4956,72.57,72,37,11.25,scattered clouds
134,Cape Town,ZA,-33.9258,18.4232,59.0,82,0,8.05,clear sky
135,Dire,ML,12.2833,-10.9667,90.99,31,54,3.67,broken clouds
136,Esmeralda,CU,21.8525,-78.1169,87.8,48,20,17.27,few clouds
137,Amparafaravola,MG,-17.5833,48.2167,64.53,91,85,5.23,overcast clouds
138,Hami,CN,42.8,93.45,44.26,29,61,9.91,broken clouds
139,Ambovombe,MG,-25.1667,46.0833,67.98,87,2,8.19,clear sky
140,Victoria,HK,22.2855,114.1577,78.01,87,25,1.01,scattered clouds
141,Saint Anthony,US,45.0205,-93.218,48.2,81,90,1.68,overcast clouds
142,Kodiak,US,57.79,-152.4072,39.2,87,90,5.75,light rain
143,Cabo San Lucas,MX,22.8909,-109.9124,84.2,53,20,3.44,few clouds
144,Iquitos,PE,-3.7481,-73.2472,80.6,83,40,3.44,scattered clouds
145,Boyolangu,ID,-8.1181,111.8935,72.88,88,4,1.03,clear sky
146,Murgab,TM,37.4966,61.9714,62.6,48,99,5.99,overcast clouds
147,Isangel,VU,-19.55,169.2667,86.0,70,40,5.75,scattered clouds
148,Isabela,PH,6.7085,121.9711,75.2,94,75,2.3,broken clouds
149,Washington,US,47.5001,-120.5015,70.0,28,95,1.99,overcast clouds
150,Milyutinskaya,RU,48.6279,41.6679,48.99,76,100,8.1,light rain
151,Mataura,NZ,-46.1927,168.8643,50.0,92,72,1.01,broken clouds
152,Kantabanji,IN,20.4833,82.9167,80.87,30,48,3.11,scattered clouds
153,Suntar,RU,62.1444,117.6319,33.55,84,100,9.69,overcast clouds
154,Tenenkou,ML,14.4572,-4.9169,94.69,17,38,5.66,scattered clouds
155,Bukama,CD,-9.2,25.85,72.1,77,75,2.04,broken clouds
156,Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,62.56,54,67,0.51,broken clouds
157,Aykhal,RU,66.0,111.5,26.53,83,84,6.53,broken clouds
158,Ballina,AU,-28.8667,153.5667,61.0,77,2,6.91,clear sky
159,Faya,SA,18.3851,42.4509,64.4,67,20,4.61,few clouds
160,Taoudenni,ML,22.6783,-3.9836,89.47,6,0,9.57,clear sky
161,Wewak,PG,-3.5534,143.6268,80.42,81,100,3.47,overcast clouds
162,Taiyuan,CN,37.8694,112.5603,51.8,76,40,4.47,scattered clouds
163,Ambilobe,MG,-13.2,49.05,71.91,85,90,3.89,overcast clouds
164,Orange Cove,US,36.6244,-119.3137,80.01,35,1,6.91,clear sky
165,Namibe,AO,-15.1961,12.1522,78.04,76,0,1.97,clear sky
166,Plettenberg Bay,ZA,-34.0527,23.3716,60.6,92,24,5.57,few clouds
167,Taupo,NZ,-38.6833,176.0833,61.0,88,70,5.01,broken clouds
168,Pascagoula,US,30.3658,-88.5561,71.6,73,75,12.66,broken clouds
169,Hermanus,ZA,-34.4187,19.2345,57.0,87,90,4.79,overcast clouds
170,Yulara,AU,-25.2406,130.9889,51.8,66,3,5.75,clear sky
171,Nizwa,OM,22.9333,57.5333,77.38,23,1,2.17,clear sky
172,Riverton,US,40.5219,-111.9391,63.0,33,1,11.5,clear sky
173,Leningradskiy,RU,69.3833,178.4167,28.9,85,99,3.65,overcast clouds
174,Iqaluit,CA,63.7506,-68.5145,28.4,93,90,3.44,light snow
175,Bahce,TR,37.1972,36.5766,55.4,54,0,4.61,clear sky
176,Kodinsk,RU,58.6881,99.1844,30.51,89,80,2.42,broken clouds
177,Cervo,ES,43.6702,-7.4101,59.0,87,97,4.32,overcast clouds
178,Fayaoue,NC,-20.65,166.5333,79.5,77,72,13.31,broken clouds
179,Oranjemund,NA,-28.55,16.4333,61.2,87,64,3.42,broken clouds
180,Whitehorse,CA,60.7161,-135.0538,48.0,27,1,6.91,clear sky
181,Kamenka,RU,51.3223,42.7678,42.01,95,9,7.43,clear sky
182,Tiznit,MA,29.5833,-9.5,58.78,81,55,5.59,broken clouds
183,Constitucion,CL,-35.3333,-72.4167,56.01,77,0,10.4,clear sky
184,Loukhi,RU,66.0764,33.0381,33.82,99,100,0.87,overcast clouds
185,Port Hardy,CA,50.6996,-127.4199,51.8,76,90,9.22,light rain
186,Saint George,US,37.1041,-113.5841,82.0,8,1,13.8,clear sky
187,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,9.22,light rain
188,Ucluelet,CA,48.9329,-125.5528,53.01,81,90,9.22,overcast clouds
189,Cherskiy,RU,68.75,161.3,23.49,93,100,5.1,light snow
190,Bokoro,TD,12.3807,17.0568,92.01,15,26,7.87,scattered clouds
191,Vila Velha,BR,-20.3297,-40.2925,77.0,69,75,5.75,broken clouds
192,Esperance,AU,-33.8667,121.9,57.2,88,97,10.36,overcast clouds
193,Tiksi,RU,71.6872,128.8694,10.0,91,98,7.54,overcast clouds
194,Nerchinskiy Zavod,RU,51.3088,119.61,35.83,22,51,4.05,broken clouds
195,Mocuba,MZ,-16.8392,36.9856,65.5,97,2,1.23,clear sky
196,Saldanha,ZA,-33.0117,17.9442,57.2,82,82,6.91,broken clouds
197,Lakheri,IN,25.6667,76.1667,80.1,30,8,6.76,clear sky
198,Taree,AU,-31.9,152.4667,57.0,76,63,8.05,broken clouds
