City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Iracoubo,GF,77.38,moderate rain,5.4802,-53.2011,Le Gite D Iracoubo
422,Awjilah,LY,77.18,clear sky,29.1081,21.2869,
430,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
432,Laguna,US,78.01,broken clouds,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
433,Cabedelo,BR,80.6,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
437,Porto Novo,BJ,84.2,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
439,Vung Tau,VN,79.61,broken clouds,10.346,107.0843,Green hotel
440,Sola,VU,83.75,overcast clouds,-13.8833,167.55,Leumerus Bungalows
443,Muli,MV,82.99,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
448,Luwuk,ID,79.56,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
449,Nanakuli,US,84.2,broken clouds,21.3906,-158.1547,Camp Pālehua
462,Poso,ID,80.01,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
466,Acapulco,MX,86.0,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
468,San Patricio,US,86.0,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
484,Ko Samui,TH,83.88,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
486,Qandala,SO,84.04,clear sky,11.472,49.8728,
493,Moron,AR,77.0,moderate rain,-34.6534,-58.6198,Hotel Morón
498,Sao Miguel Do Araguaia,BR,75.4,clear sky,-13.275,-50.1628,Hotel Executivo Palace
505,Finschhafen,PG,79.21,overcast clouds,-6.6024,147.8681,Cossam Guest House
506,Mitsamiouli,KM,80.85,light rain,-11.3847,43.2844,Foyer ADM
509,Saint-Louis,SN,86.0,clear sky,16.3333,-15.0,
514,Ascension,US,75.2,light rain,30.2169,-90.9001,Highland Inn
515,Manaure,CO,84.69,few clouds,11.7751,-72.4445,Hotel Palaaima
517,Hubli,IN,75.24,few clouds,15.35,75.1667,Hotel Swathi
519,Morondava,MG,75.02,clear sky,-20.2833,44.2833,La Case Bambou
520,Honiara,SB,83.7,broken clouds,-9.4333,159.95,Heritage Park Hotel
522,Biak,ID,78.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
525,Kahului,US,82.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
527,Etchojoa,MX,89.01,clear sky,26.9167,-109.6333,Cuadra RT
531,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
533,Sabha,LY,83.07,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
540,Seminole,US,75.99,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
541,Auki,SB,80.6,scattered clouds,-8.7676,160.7034,Auki Motel
549,Puerto Quijarro,BO,82.8,broken clouds,-17.7833,-57.7667,Hotel palance
559,Princeton,US,79.0,broken clouds,25.5384,-80.4089,American Best Inn
560,Mana,GF,77.77,heavy intensity rain,5.6592,-53.7767,LE SAMANA
564,Itarema,BR,79.65,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
566,Jalu,LY,76.39,clear sky,29.0331,21.5482,صاحبة الفخامة
568,Le Vauclin,MQ,80.6,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
569,Weligama,LK,78.24,broken clouds,5.9667,80.4167,Weligama Bay Resort
572,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
574,Oistins,BB,80.6,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
580,Tecoanapa,MX,84.88,overcast clouds,16.5167,-98.75,Hotel Manglares
588,Esna,EG,80.6,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
592,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
594,Banda Aceh,ID,80.31,overcast clouds,5.5577,95.3222,Sulthan Hotel International
597,Port Maria,JM,82.0,few clouds,18.3685,-76.8895,Galina Breeze Hotel
599,Bombay,IN,82.4,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
601,Basco,PH,76.66,few clouds,20.4487,121.9702,Nathaniel's Lodge
606,Coruripe,BR,78.42,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
608,Curaca,BR,82.33,overcast clouds,-8.9903,-39.9094,Curaca
612,Urucara,BR,75.06,light rain,-2.5364,-57.76,Hotel japa
613,Hawalli,KW,89.01,overcast clouds,29.2833,47.9972,Holiday Inn Kuwait al Thuraya City
632,Padang,ID,75.2,mist,-0.9492,100.3543,Mercure Padang
633,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
634,Moussoro,TD,88.99,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
641,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
648,Paka,MY,75.2,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
658,Nova Granada,BR,75.2,clear sky,-20.5339,-49.3142,Granada Hotel - Nova Granada
664,Taperoa,BR,75.09,scattered clouds,-7.2075,-36.8267,Construir material de construção
668,Nhamunda,BR,76.55,heavy intensity rain,-2.1861,-56.7131,Pousada Da Praia
669,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
670,Simplicio Mendes,BR,79.47,overcast clouds,-7.8539,-41.9103,Fidalgo
673,Pak Phanang,TH,78.42,overcast clouds,8.3511,100.202,Green Park Inn Hotel
677,Pochutla,MX,86.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
687,Saltpond,GH,82.36,overcast clouds,5.2091,-1.0606,Mfantseman Beach Resort
690,Sirohi,IN,78.03,clear sky,24.8833,72.8667,Dheeraj Kumar
691,Ures,MX,84.99,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
693,Puerto Ayacucho,VE,85.82,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
